CRN,,,Cred,Gr,Class,Start,End,,Max,,Sts
Course-Sec,Course Title,Class Type,Hrs,Tp,Days,Time,Time,Instructor,Enrl,Enrl,Rmng
15017 CSCI-1100-01,COMPUTER SCIENCE I,TES,,,R,4:00,6:05PM,Staff,,,
15423 CSCI-1100-02,COMPUTER SCIENCE I,LEC,4,,M R,10:30,12:10PM,Mushtaque/Hulbert,36.0,9.0,27.0
15423 CSCI-1100-02,COMPUTER SCIENCE I,LAB,,,W,10:30,12:35PM,Staff,,,
15423 CSCI-1100-02,COMPUTER SCIENCE I,TES,,,R,4:00,6:05PM,Staff,,,
15680 CSCI-2300-01,INTRODUCTION TO ALGORITHMS,LEC,4,,T F,10:30,12:35PM,Goldschmid/Hulbert,60.0,59.0,1.0
15680 CSCI-2300-01,INTRODUCTION TO ALGORITHMS,LAB,,,W,10:30,12:35PM,Staff,,,
15680 CSCI-2300-01,INTRODUCTION TO ALGORITHMS,TES,,,R,4:00,6:05PM,Staff,,,
15681 CSCI-2300-02,INTRODUCTION TO ALGORITHMS,LEC,4,,T F,10:30,12:35PM,Goldschmid/Hulbert,60.0,42.0,18.0
15681 CSCI-2300-02,INTRODUCTION TO ALGORITHMS,LAB,,,W,10:30,12:35PM,Staff,,,
15681 CSCI-2300-02,INTRODUCTION TO ALGORITHMS,TES,,,R,4:00,6:05PM,Staff,,,
15431 CSCI-2600-01,PRINCIPLES OF SOFTWARE,LEC,4,,M R,1:30,3:35PM,Kuzmin/Hulbert,120.0,117.0,3.0
15431 CSCI-2600-01,PRINCIPLES OF SOFTWARE,TES,,,R,6:30,8:30PM,Staff,,,
15677 CSCI-2960-01,RCOS,STU,1-4,,T F,1:30,3:35PM,Turner/Goldschmid,90.0,81.0,9.0
15424 CSCI-4210-01,OPERATING SYSTEMS,LEC,4,,M R,10:30,12:35PM,Goldschmid/Hulbert/Ho,200.0,117.0,83.0
15424 CSCI-4210-01,OPERATING SYSTEMS,TES,,,R,6:30,8:30PM,Staff,,,
15448 CSCI-4210-02,OPERATING SYSTEMS,LEC,4,,M R,1:30,3:35PM,Holzbauer/Hulbert/Gol,200.0,117.0,83.0
15448 CSCI-4210-02,OPERATING SYSTEMS,TES,,,R,6:30,8:30PM,Staff,,,
15679 CSCI-4230-01,CRYPT & NETWORK SECURITY I,LEC,4,,T F,1:30,3:35PM,Yener,100.0,69.0,31.0
15334 CSCI-4800-01,NUMERICAL COMPUTING,LEC,4,,T F,8:00,10:05AM,Zerbetto T,40.0,41.0,-1.0
15346 CSCI-4963-01,APPLICATION PROG USING JAVA,LEC,4,,M R,4:00,6:05PM,Kuzmin,100.0,67.0,33.0
15347 CSCI-4964-01,COMPUTER COMMUNICATION NETWORK,LEC,4,,T F,10:30,12:35PM,Holzbauer,100.0,37.0,63.0
15678 CSCI-4965-01,AI IN FICTION AND FACT,LEC,4,,M R,1:30,3:35PM,Hendler/Seneviratn,45.0,23.0,22.0
14878 CSCI-6980-01,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Zaki,25.0,0.0,25.0
14881 CSCI-6980-02,MASTER'S PROJECT,LEC,1-9,,,** TBA **,,Spooner,25.0,0.0,25.0
14899 CSCI-6980-03,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Hendler,25.0,0.0,25.0
15274 CSCI-6980-04,MASTER'S PROJECT,LEC,4,SU,,** TBA **,,Bringsjord,10.0,0.0,10.0
14935 CSCI-6980-34,MASTER'S PROJECT,LEC,1-9,SU,,** TBA **,,Milanova,20.0,0.0,20.0
14926 CSCI-6990-01,MASTERS THESIS,LEC,1-16,,,** TBA **,,Zaki,25.0,0.0,25.0
14927 CSCI-6990-02,MASTERS THESIS,LEC,1-16,,,** TBA **,,Spooner,25.0,0.0,25.0
15023 CSCI-6990-04,MASTERS THESIS,,1-16,,,** TBA **,,Varela,10.0,0.0,10.0
15082 CSCI-6990-06,MASTERS THESIS,LEC,1-16,,,** TBA **,,McGuinness,5.0,0.0,5.0
15197 CSCI-6990-08,MASTERS THESIS,LEC,1-16,,,** TBA **,,Carothers,5.0,0.0,5.0
15552 CSCI-6990-09,MASTERS THESIS,LEC,1-16,,,** TBA **,,Ji,10.0,0.0,10.0
15236 CSCI-6990-10,MASTERS THESIS,LEC,1-16,,,** TBA **,,Varela,10.0,0.0,10.0
15085 CSCI-6990-11,MASTERS THESIS,LEC,1-16,,,** TBA **,,Cutler,5.0,0.0,5.0
14955 CSCI-6990-16,MASTERS THESIS,LEC,1-16,,,** TBA **,,Szymanski,25.0,0.0,25.0
14936 CSCI-6990-34,MASTERS THESIS,LEC,1-16,,,** TBA **,,Milanova,20.0,0.0,20.0
14929 CSCI-9990-01,DISSERTATION,LEC,1-15,,,** TBA **,,Zaki,25.0,0.0,25.0
14906 CSCI-9990-02,DISSERTATION,LEC,1-15,,,** TBA **,,Spooner,0.0,0.0,0.0
14931 CSCI-9990-03,DISSERTATION,LEC,1-15,,,** TBA **,,Krishnamoo,25.0,0.0,25.0
15056 CSCI-9990-04,DISSERTATION,LEC,1-15,,,** TBA **,,Szymanski,25.0,0.0,25.0
15251 CSCI-9990-05,DISSERTATION,LEC,1-15,,,** TBA **,,McGuinness,10.0,2.0,8.0
15237 CSCI-9990-28,DISSERTATION,LEC,1-15,,,** TBA **,,Ji,5.0,0.0,5.0
14937 CSCI-9990-34,DISSERTATION,LEC,1-15,,,** TBA **,,Milanova,20.0,0.0,20.0
15331 ECON-2010-01,INTERMEDIATE MICROECON THEORY,LEC,4,,,** TBA **,,Jones,40.0,36.0,4.0
15651 ECSE-2010-01,ELECTRIC CIRCUITS,LEC,4,,T F,8:00,10:05AM,Sawyer,32.0,32.0,0.0
15651 ECSE-2010-01,ELECTRIC CIRCUITS,LAB,,,T,4:00,6:25PM,Staff,,,
15652 ECSE-2010-02,ELECTRIC CIRCUITS,LEC,4,,T F,8:00,10:05AM,Sawyer,32.0,33.0,-1.0
15652 ECSE-2010-02,ELECTRIC CIRCUITS,LAB,,,F,4:00,6:25PM,Staff,,,
15654 ECSE-2050-01,INTRODUCTION TO ELECTRONICS,LEC,4,,T F,8:00,10:05AM,Braunstein,42.0,38.0,4.0
15654 ECSE-2050-01,INTRODUCTION TO ELECTRONICS,LAB,,,T,1:30,3:55PM,Staff,,,
15655 ECSE-2050-02,INTRODUCTION TO ELECTRONICS,LEC,4,,T F,8:00,10:05AM,Braunstein,42.0,36.0,6.0
15655 ECSE-2050-02,INTRODUCTION TO ELECTRONICS,LAB,,,F,1:30,3:55PM,Staff,,,
15657 ECSE-2100-01,FIELDS AND WAVES I,LEC,4,,M R,8:00,10:05AM,Shah,32.0,24.0,8.0
15657 ECSE-2100-01,FIELDS AND WAVES I,LAB,,,M,1:30,3:55PM,Staff,,,
15658 ECSE-2100-02,FIELDS AND WAVES I,LEC,4,,M R,8:00,10:05AM,Shah,32.0,14.0,18.0
15658 ECSE-2100-02,FIELDS AND WAVES I,LAB,,,R,1:30,3:55PM,Staff,,,
15672 ECSE-2110-01,ELECTRICAL ENERGY SYSTEMS,LEC,3,,T F,10:30,12:05PM,Shah,40.0,35.0,5.0
15650 ECSE-2410-01,SIGNALS AND SYSTEMS,LEC,3,,M R,10:30,12:05PM,Hameed,100.0,103.0,-3.0
15653 ECSE-2500-01,ENGINEERING PROBABILITY,LEC,3,,T F,10:30,12:05PM,Tajer/Abouzeid,100.0,75.0,25.0
15673 ECSE-2610-01,COMPUTER COMPONENT & OPERATION,LEC,4,,M R,8:00,10:05AM,Hameed,36.0,26.0,10.0
15673 ECSE-2610-01,COMPUTER COMPONENT & OPERATION,LAB,,,M,1:30,3:55PM,Staff,,,
15820 ECSE-2960-01,PRACTICUM-COLLEGE TEACHING I,LEC,1,,,** TBA **,,Lu,3.0,0.0,3.0
15768 ECSE-2960-02,PRACTICUM-COLLEGE TEACHING II,LEC,2,,,** TBA **,,Lu,4.0,3.0,1.0
14893 ECSE-6980-01,MASTER'S PROJECT,LEC,1-16,SU,,** TBA **,,Schubert,25.0,0.0,25.0
14873 ECSE-6990-01,MASTERS THESIS,LEC,1-12,,,** TBA **,,Schubert,50.0,0.0,50.0
15038 ECSE-6990-02,MASTERS THESIS,,1-12,,,** TBA **,,Franklin,25.0,0.0,25.0
15145 ECSE-6990-04,MASTERS THESIS,LEC,1-12,,,** TBA **,,Woods,5.0,0.0,5.0
15159 ECSE-6990-05,MASTERS THESIS,LEC,1-12,,,** TBA **,,Bhat,10.0,0.0,10.0
15196 ECSE-6990-06,MASTERS THESIS,LEC,1-12,,,** TBA **,,Salon,10.0,0.0,10.0
15544 ECSE-6990-07,MASTERS THESIS,LEC,1-12,,,** TBA **,,Kar,5.0,0.0,5.0
15081 ECSE-6990-10,MASTERS THESIS,LEC,1-12,,,** TBA **,,Zhang,1.0,0.0,1.0
14988 ECSE-6990-24,MASTERS THESIS,LEC,1-12,,,** TBA **,,Lecoz,25.0,0.0,25.0
14947 ECSE-6990-35,MASTERS THESIS,LEC,1-12,,,** TBA **,,Chow,25.0,0.0,25.0
